city,cafe_name,lat,lng
Moscow,Сыроварня,55.758681,37.586185
Moscow,Jpan,55.762145,37.63447
Moscow,Zotman,55.754031,37.637524
Moscow,Хачапури и вино,55.745498,37.627032
Moscow,KFC,55.761431,37.623816
Moscow,Теремок,55.656037,37.541512
Moscow,Bar Boshko,55.896766,37.396775
Moscow,Му-Му,55.763741,37.606281
Moscow,The Бык,55.748093,37.586536
Moscow,Villa de Pasta,55.740973,37.62819
Saint-Petersburg,Birch,59.943854,30.35084
Saint-Petersburg,KFC,59.986695,30.367647
Saint-Petersburg,Burger King,59.978232,30.326711
Saint-Petersburg,Теремок,59.932491,30.359599
Saint-Petersburg,Ketch up,59.964976,30.312769
Saint-Petersburg,Crevette,59.922618,30.248881
Saint-Petersburg,Пробка,59.948879,30.305277
Saint-Petersburg,Рамен Шифу,59.925795,30.314449
Saint-Petersburg,Буше,59.986968,30.353328
Saint-Petersburg,Вкусные суши,60.039768,30.407505
Krasnodar,KFC,45.101177,38.982538
Krasnodar,Burger King,45.102509,38.983703
Krasnodar,Теремок,45.102509,38.983703
Krasnodar,Фарш,45.102509,38.983703
Krasnodar,Скотина,45.02266,38.987485
Krasnodar,Гусь,45.025692,38.967381
Krasnodar,Сыроварня,45.026036,38.971405
Krasnodar,Голый шеф,45.060713,38.962683
Krasnodar,Тануки,45.04789,38.979427
Krasnodar,Luka Pizza,45.046714,38.981662
Voroneg,KFC,51.847896,39.215801
Voroneg,Burger King,51.710214,39.160832
Voroneg,Krevetka,51.668909,39.198841
Voroneg,Fibona4i,51.665793,39.191159
Voroneg,Torro Grill,51.659468,39.193801
Voroneg,Temple,51.672037,39.206935
Voroneg,Brugger,51.673025,39.216511
Voroneg,Сыроварня,51.696684,39.223311
Voroneg,Biga,51.674137,39.208417
Voroneg,Эбби,51.676103,39.201742
Rostov-on-Don,Раки и Гады,47.220885,39.714043
Rostov-on-Don,Колючка,47.224318,39.721517
Rostov-on-Don,Тепло,47.221356,39.715857
Rostov-on-Don,Корова,47.226833,39.713728
Rostov-on-Don,Сыроварня,47.225872,39.7312
Rostov-on-Don,Pad Thai,47.229905,39.735216
Rostov-on-Don,Магадан,47.225536,39.730033
Rostov-on-Don,Сицилия,47.227408,39.727284
Rostov-on-Don,Мир,47.216711,39.72343
Rostov-on-Don,Mama Donna,47.283181,39.710701
Tver,Друзья,56.856417,35.905446
Tver,Причал,56.856761,35.89861
Tver,Москва,56.861367,35.912022
Tver,Ленинград,56.867469,35.913091
Tver,Testo,56.857765,35.910612
Tver,La Georgia,56.857027,35.924733
Tver,Porta Rossa,56.85746,35.912265
Tver,Stolle,56.859995,35.910109
Tver,Фалафель,56.870627,35.912516
Tver,Манилов,56.859266,35.915193
